,ori,ncic_agency_name,state_abbr,city_name
0,AK0010100,ANCHORAGE PD,AK,ANCHORAGE
1,AK0010200,FAIRBANKS PD,AK,FAIRBANKS
2,AK0010300,JUNEAU PD,AK,JUNEAU
3,AK0010400,KETCHIKAN PD,AK,KETCHIKAN
4,AK0010500,KODIAK PD,AK,KODIAK
5,AK0010600,NOME PD,AK,NOME
6,AK0010700,PETERSBURG PD,AK,PETERSBURG
7,AK0010800,SEWARD PD,AK,SEWARD
8,AK0010900,SITKA PD,AK,SITKA
9,AK0011000,SKAGWAY PD,AK,SKAGWAY
10,AK0011100,WRANGELL PD,AK,WRANGELL
11,AK0011200,VALDEZ PD,AK,VALDEZ
12,AK0011300,BETHEL PD,AK,BETHEL
13,AK0011400,CORDOVA PD,AK,CORDOVA
14,AK0011600,KOTZEBUE PD,AK,KOTZEBUE
15,AK0011700,PALMER PD,AK,PALMER
16,AK0011800,NORTH SLOPE BOROUGH PD,AK,BARROW
17,AK0011900,SELDOVIA PD,AK,SELDOVIA
18,AK0012000,SOLDOTNA PD,AK,SOLDOTNA
19,AK0012100,HAINES PD,AK,HAINES
20,AK0012200,HOMER PD,AK,HOMER
21,AK0012300,KENAI PD,AK,KENAI
22,AK0012400,SPENARD SERVICE DISTRICT,AK,SPENARD
23,AK0012500,ANNETTE ISLAND INDIAN RESERVE PD METLAKATLA,AK,METLAKATLA
24,AK0012600,FAIRBANKS INTL AIRPORT SECURITY POL FAIRBANKS,AK,FAIRBANKS
25,AK0012700,ANCHORAGE AIRPORT POLICE AND FIRE,AK,ANCHORAGE
26,AK0012800,WHITTIER PD,AK,WHITTIER
27,AK0013000,DILLINGHAM PD,AK,DILLINGHAM
28,AK0013100,HOONAH PD,AK,HOONAH
29,AK0013200,NORTH POLE PD,AK,NORTH POLE
30,AK0013300,UNALASKA PD,AK,UNALASKA
31,AK0013500,KLAWOCK PD,AK,KLAWOCK
32,AK0014200,UNIV OF ALASKA FAIRBANKS PD,AK,FAIRBANKS
33,AK0014300,UNIVERSITY OF ALASKA ANCHORAGE POLICE DEPART,AK,ANCHORAGE
34,AK0014500,CRAIG PD,AK,CRAIG
35,AK0014600,BRISTOL BAY BOROUGH PD,AK,KING SALMON
36,AK0014700,KAKE PD,AK,KAKE
37,AK0014900,DPS NENANA,AK,NENANA
38,AK0015000,SAINT PAUL POLICE DEPARTMENT SAINT PAUL,AK,ST. PAUL ISLAND
39,AK0015200,SAND POINT PD SAND POINT,AK,SAND POINT
40,AK0015400,TOGIAK POLICE DEPARTMENT,AK,TOGIAK
41,AK0015600,WASILLA POLICE DEPARTMENT,AK,WASILLA
42,AK0016300,ANVIK POLICE DEPARTMENT,AK,ANVIK
43,AK0016400,EMMONAK POLICE DEPARTMENT,AK,EMMONAK
44,AK0016600,HOUSTON POLICE DEPARTMENT,AK,HOUSTON
45,AK020045Y,AK DPS ALCOHOL BEV CNT BRD ENFORCEMENT UNIT,AK,
46,AKASP0000,STATE TROOPERS,AK,ANCHORAGE
47,AKAST0000,"STATE TROOPERS, JUNEAU",AK,
48,AKAST0100,AK DPS ALASKA STATE TROOPERS,AK,WASILLA
49,AKAST0600,"STATE TROOPERS, BETHEL",AK,
50,AKAST1500,"STATE TROOPERS HQS, ANCHORAGE",AK,
51,AKATF0200,,FS,
52,AKDI00100,KATMAI NM,AK,
53,AKDI00200,MOUNT MCKINLEY NP,AK,
54,AKDI00300,SITKA NHP,AK,
55,AKDI00400,GLACIER BAY NM,AK,
56,AKFBIAN00,,FS,
57,AL0010000,JEFFERSON CO SO BIRMINGHAM,AL,BIRMINGHAM
58,AL0010100,BESSEMER PD,AL,BESSEMER
59,AL0010200,BIRMINGHAM PD,AL,BIRMINGHAM
60,AL0010300,MOUNTAIN BROOK PD,AL,MOUNTAIN BROOK
61,AL0010400,FAIRFIELD PD,AL,FAIRFIELD
62,AL0010500,GARDENDALE PD,AL,GARDENDALE
63,AL0010600,LEEDS PD,AL,LEEDS
64,AL0010700,MIDFIELD PD,AL,MIDFIELD
65,AL0010800,TARRANT PD,AL,TARRANT CITY
66,AL0010900,VESTAVIA HILLS PD,AL,VESTAVIA HILLS
67,AL0011000,HOMEWOOD PD,AL,HOMEWOOD
68,AL0011100,FULTONDALE PD,AL,FULTONDALE
69,AL0011200,HOOVER PD,AL,HOOVER
70,AL0011300,IRONDALE PD,AL,IRONDALE
71,AL0011400,PLEASANT GROVE PD,AL,PLEASANT GROVE
72,AL0011500,ROOSEVELT PD,AL,ROOSEVELT CITY
73,AL0011600,GRAYSVILLE PD,AL,GRAYSVILLE
74,AL0011700,BROWNSVILLE PD,AL,BROWNSVILLE
75,AL0011800,BRIGHTON PD,AL,BRIGHTON
76,AL0011900,HUEYTOWN PD,AL,HUEYTOWN
77,AL0012000,LIPSCOMB PD,AL,LIPSCOMB
78,AL0012100,TRUSSVILLE PD,AL,TRUSSVILLE
79,AL0012200,ADAMSVILLE PD,AL,ADAMSVILLE
80,AL0012300,WARRIOR PD,AL,WARRIOR
81,AL0012400,UNIVERSITY OF ALABAMA CAMPUS PD BIRMINGHAM,AL,BIRMINGHAM
82,AL0012500,TRAFFORD,AL,TRAFFORD
83,AL0012600,MORRIS PD,AL,MORRIS
84,AL0012700,BROOKSIDE PD,AL,BROOKSIDE
85,AL0012800,CARDIFF PD,AL,CARDIFF
86,AL0012900,KIMBERLY PD,AL,KIMBERLY
87,AL0013000,COUNTY LINE PD TRAFFORD,AL,TRAFFORD
